192.168.11.1 - - [12/Sep/2022:12:31:43 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
192.168.11.1 - - [12/Sep/2022:12:31:44 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://192.168.11.130/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
127.0.0.1 - - [21/Sep/2022:00:11:15 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
127.0.0.1 - - [21/Sep/2022:00:12:02 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
127.0.0.1 - - [21/Sep/2022:00:12:02 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
127.0.0.1 - - [21/Sep/2022:00:16:41 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
127.0.0.1 - - [21/Sep/2022:00:16:48 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
127.0.0.1 - - [21/Sep/2022:00:16:48 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
192.168.11.130 192.168.11.130 - - [25/Sep/2022:02:47:31 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:47:36 +0000] "GET /index.html HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:47:43 +0000] "GET /test/index.html HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:47:58 +0000] "GET /test/index.html HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:48:04 +0000] "GET /test/index.html HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:48:13 +0000] "GET /test/log.js HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:48:25 +0000] "GET /log.js HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:48:36 +0000] "GET /log.js HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:49:05 +0000] "GET /log.js HTTP/1.1" 404 153 "-" "curl/7.81.0" "-"
127.0.0.1 www.test123.com - - [25/Sep/2022:02:51:43 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
127.0.0.1 localhost:60780 - - [28/Dec/2022:11:53:56 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
127.0.0.1 localhost:60780 - - [28/Dec/2022:11:53:57 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost:60780/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
127.0.0.1 localhost:61245 - - [28/Dec/2022:11:55:23 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
127.0.0.1 localhost:61245 - - [28/Dec/2022:11:55:23 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost:61245/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
127.0.0.1 localhost:61245 - - [28/Dec/2022:11:55:44 +0000] "GET /?vscodeBrowserReqId=1672228543728 HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.74.2 Chrome/102.0.5005.167 Electron/19.1.8 Safari/537.36" "-"
127.0.0.1 localhost:61666 - - [28/Dec/2022:11:57:17 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
127.0.0.1 localhost:61666 - - [28/Dec/2022:11:57:18 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost:61666/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
127.0.0.1 localhost:61666 - - [28/Dec/2022:11:57:34 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
